"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130"
"7",0.177419355,0.279761904,0.303440861,0.064685314,0.0260918889999999,0.129937629,0.119590874,0.019642857,0.220674487,0.114645859,0.231034483,0.165618448,0.155555555,0.091699262,0.121794871,0.07208238,0.147327249,0.233433234,0.128395062,0.106580511,0.025336928,0.0125,0.030352304,0.215277778,0.04087346,0.0563636360000001,0,0.00228658500000001,0.095238096,0.053763441,0.12962963,0.0870967739999999,0.052410901,0.096376811,0.123282515,0.398755106,0.122960373,0.014430014,0.462987013,0.1625,0.341511434,0.252065648,0.026666667,0.00552791600000002,0.05862069,0.0359237530000001,0.133145804,0.268615041,0.189641894,0.039473684,0.112745098,0.146476917,0.215517241,0.048838312,0.219245283,0.042140152,0.157834541,0.07936508,0.064969605,0.45289855,0.23027027,0.257602862,0.13063063,0.261052632,0.0588972430000001,0.01108871,0.289535798,0.047297297,0.044117647,0.0182328190000001,0.0955373980000001,0.139194139,0.035771066,0.00709219900000002,0.162464986,0.045454545,0.132867133,0.002631579,0.036931818,0.160037879,0.0794912560000001,0.023423424,0.066257131,0.24137931,0.107946027,0.146428571,0.291707317,0.215116279,0.146563815,0.089571068,0.075268817,0.230694981,0.162790698,0.0598455600000001,0.209677419,0.015756302,0.11372549,0.125672043,0.0617732560000001,0.00619194999999995,0.0229166669999999,0.053333333,0.095238096,0.042857143,0.075,0.115089514,0.335507922,0.192105263,0.090909091,0.13500785,0.141557128,0.192307692,0.00957854399999991,0.0550724630000001,0.01037037,0.077419355,0.00871080199999996,0.0314401620000001,0.025862069,0.171328672,0.019886364,0.089285714,0.030303031,0.178353659,0.127272727,0.144409938,0.177777778,0.038461538,0.010989011,0.368951613
"8",0.219672131,0.307692308,0.32,0.073333333,0.195121951,0.1657575,0.084259259,0.062271062,0.14216054,0.086111111,0.2,0.022727273,0.05021645,0.064479638,0.099773242,0.158835759,0.056141439,0.247191011,0.126811594,0.140823628,0.094948265,0.020376175,0.029545455,0.220189702,0.01044226,0.031667491,0.060386474,0.011583011,0.167420815,0.019607843,0.058528428,0.020833333,0.08107089,0.149157979,0.101799242,0.33797054,0.204968944,0.012626262,0.432692308,0.176062707,0.359541867,0.294749695,0.056603774,0.00505050500000001,0.15934066,0.027027027,0.076923077,0.25381971,0.221934928,0.010389611,0.02020202,0.152894067,0.210526316,0.00808625300000002,0.193575302,0.04249872,0.121138211,0.063492064,0.077489178,0.433333333,0.23027027,0.13534279,0.165339865,0.120634921,0.030555556,0.00907258100000002,0.289535798,0.049549549,0.072222222,0.054530875,0.122807017,0.161764706,0.000844595000000004,0.016260162,0.244147158,0.037878787,0.107142857,0.00624999999999998,0.037984496,0.190340909,0.053030303,0.090196079,0.090526316,0.244444444,0.062397373,0.224358975,0.296842105,0.202380952,0.133333334,0.041025641,0.00595238099999998,0.071637427,0.028571429,0.028571429,0.314814815,0.015756302,0.18872549,0.142072753,0.025,0.022328549,0.035714285,0.047149894,0.051242236,0.058333333,0.041025641,0.05075188,0.272556391,0.083591331,0.009852217,0.145833334,0.18504772,0.172064778,0.030541872,0.237373738,0.037037037,0.033333333,0.03508772,0.034632035,0.019230769,0.1125,0.00439882699999999,0.122807017,0.013333333,0.133333333,0.2,0.05958132,0.246153846,0.023809524,0.049450549,0.175
"11",0.039747064,0.071111111,0.07405765,0.045168067,0.170955882,0.00339558600000001,0.026785714,0.095238096,0.116826157,0.011904762,0.064842959,0.05,0.06043956,0.027565983,0.013919414,0.00106837700000001,0.096448598,0.027586207,0.114827201,0.025172231,0.069230769,0.021674877,0.071489362,0.021978022,0.119047619,0.00107758599999999,0.077651515,0.020833333,0.206896552,0.036630036,0.024024024,0.05090312,0.030075188,0.084529505,0.034455128,0.019635344,0.046875,0.037134503,0.165954139,0.030769231,0.111111111,0.107683983,0.095135135,0.076122932,0.294782609,0.153333333,0.069989396,0.041666667,0.143262412,0.168610816,0.013647643,0.095118898,0.024038462,0.064646465,0.150829563,0.031063322,0.02388435,0.127526132,0.061363636,0.301932367,0.043478261,0.140957447,0.159863945,0.02893617,0.194708995,0.077223851,0.157142857,0.012931034,0.083107498,0.072948329,0.088888889,0.01875,0.064761905,0.144427002,0.06,0.051282052,0.075250836,0.031362008,0.057142857,0.107142857,0.056171471,0.049718574,0.077235772,0.121212121,0.170598911,0.026113671,0.105363985,0.112132353,0.121428571,0.075,0.088383838,0.071428571,0.925925926,0.033846154,0.209605488,0.306650246,0.123839009,0.038888889,0.08982684,0.073863636,0.017857143,0.048101266,0.022267207,0.107692308,0.002764977,0.050239235,0.270833333,0.079365079,0.12,0.230994152,0.068181818,0.093984962,0.238636364,0.15,0.013071896,0.054226475,0.021818182,0.104575163,0.169642857,0.269736842,0.095959596,0.131313131,0.066666667,0.115686274,0.071960298,0,0.119782214,0.321212122,0.075757576,0.099206349
"12",0.100240578,0.182336182,0.04106858,0.077287814,0.070676692,0.052487563,0.17635468,0.023423424,0.034457478,0.071096345,0.057902231,0.366666667,0.23255814,0.024276377,0.144144144,0.088888889,0.113943028,0.046268005,0.086111111,0.106356357,0.177777778,0.163157895,0.028116907,0.044334976,0.035862069,0.05276907,0.113333333,0.089700997,0.061935484,0.083333333,0.015753939,0.064102564,0.058270676,0.09569378,0.235897436,0.233821734,0.0625,0.00964912199999995,0.034036145,0.095054945,0.032175032,0.041193182,0.223783784,0.05106383,0.086086957,0.226666667,0.146860405,0.066666667,0.096926714,0.175503711,0.00186104300000001,0.096996246,0.084935898,0.156565657,0.366576819,0.152840909,0.021396397,0.026223776,0.072735192,0.049052396,0.1352657,0.216905901,0.138346728,0.013877551,0.10150376,0.065464896,0.055871212,0.275,0.128526646,0.131648936,0.054054054,0.068511199,0.066715543,0.128824476,0.132659932,0.211013896,0.19047619,0.165007112,0.254704301,0.225225225,0.02618658,0.136904762,0.00793650800000001,0.035526316,0.027586207,0.180451128,0.055456172,0.076576576,0.195564516,0.069767441,0.183333333,0.055555556,0.099838969,0.096774194,0.012006861,0.157894737,0.01981352,0.077075099,0.091891892,0.111111111,0.150470219,0.022242817,0.075,0.190769231,0.144117647,0.029776675,0.291497976,0.093406594,0.067586207,0.090592335,0.127039627,0.060526316,0.179166667,0.032352941,0.189839573,0.024296675,0.048433049,0.00956937800000002,0.037593985,0.266233766,0.078674948,0.055335969,0.00384615400000002,0.038095239,0.00430107499999999,0.105769231,0.038095238,0.06060606,0.076923077,0.299539171
"17",0.275,0.225274725,0.026143791,0.125874126,0.3875969,0.100757576,0.054545455,0.030303031,0.044387755,0.013888889,0.071428571,0.035714286,0.140259741,0.048941799,0.07185234,0.182870371,0.021181716,0.178181818,0.28937729,0.271561772,0.21911422,0.068452381,0.055555556,0.115384616,0.076463561,0.019550342,0.195101351,0.19726248,0.106666667,0.254901961,0.326315789,0.171428571,0.196969697,0.2,0.25,0.055944056,0.279146141,0.06684492,0.294117647,0.00278086699999996,0.102941176,0.18598078,0.083333333,0.096638655,0.291666667,0.1,0.083333333,0.4,0.078947368,0.023148148,0.065789474,0.125,0.240601503,0.385714286,0.054761904,0.140350878,0.051388889,0.185,0.112689394,0.360501567,0.123214286,0.129539295,0.023809524,0.058080808,0.00384615399999999,0.138176638,0.133333333,0.020689655,0.020408164,0.183760684,0.083333334,0.209134615,0.00551470599999998,0.00416666700000001,0.124137931,0.143783784,0.166666666,0.152923538,0.035714285,0.015567766,0.150150151,0.085858586,0.081939799,0.0132626,0.003703703,0.194594595,0.113799283,0.019875777,0.19902439,0.016830294,0.154545455,0.8,0.166666667,0.097128378,0.782608696,0.053333333,0.00647088099999998,0.14516129,0.24,0.271428571,0.043771043,0.071428572,0.095588235,0.233333333,0.178763441,0.235109717,0.037037037,0.231372549,0.269230769,0.162337663,0.092857143,0.077205882,0.033333333,0.197802198,0.169059011,0.011666667,0.308308309,0.116116116,0.097178683,0.288244767,0.048245614,0.213815789,0.126315789,0.016666666,0.115555556,0.00217864900000003,0.071428571,0.020833333,0.16,0.052941176
"18",0.258823529,0.186813186,0.029411765,0.048951049,0.457364341,0.017424242,0.071428571,0.024242424,0.087619048,0.058333333,0.321428571,0.059523809,0.225,0.031084656,0.001318392,0.1875,0.084169454,0.072027972,0.240293041,0.238927739,0.265734265,0.040178571,0.031045751,0.141025641,0.053763441,0.021505377,0.263513514,0.225374311,0.015151515,0.227124183,0.326315789,0.142857143,0.174242424,0.1,0.109649122,0.022727273,0.382594417,0.021390374,0.11372549,0.046162402,0.099264706,0.1910684,0.066666667,0.00420168100000007,0.291666667,0.1,0.104166667,0.477272727,0.073684211,0.027777778,0.00657894699999995,0.125,0.240601503,0.30952381,0.134792627,0.168690958,0.029166667,0.23,0.077651515,0.415360502,0.159821429,0.027642277,0.0251831499999999,0.019607843,0.073076923,0.0213675210000001,0.133333333,0.019704433,0.00816326500000009,0.337606837,0.0876068369999999,0.237762237,0.027573529,0.129166667,0.0896551720000001,0.062702703,0.111111111,0.187406297,0.107142857,0.032967033,0.187187188,0.122739018,0.016722408,0.012820513,0.118518519,0.113513514,0.2510898,0.008695652,0.0711382110000001,0.070126227,0.236363636,0.8,0.166666667,0.119932432,0.782608696,0.0133333330000001,0.071179692,0.134642356,0.27,0.071428571,0.063973064,0.047619047,0.129411765,0.216666667,0.201612903,0.110016421,0.0103448279999999,0.545833333,0.278514589,0.095238096,0.107142857,0.018382353,0.0809523809999999,0.043956044,0.154704944,0.096666667,0.261261262,0.0420420419999999,0.00470219399999999,0.188405797,0.00438596499999999,0.246710526,0.126315789,0.025,0.115555556,0.05664488,0.035714286,0.125,0.2,0.205555556
"23",0.079365079,0.178973718,0.130827345,0.272435897,0.023809524,0.078165374,0.00930232600000003,0.210697674,0.125541126,0.156529517,0.275862069,0.00333333300000005,0.0961791829999999,0.126436781,0.073529412,0.16113875,0.0244821089999999,0.284376626,0.16691767,0.038888889,0.091269842,0.105384615,0.042528736,0.042606516,0.1875969,0.181881533,0.040650406,0.160130719,0.00714285800000003,0.118012422,0.00813008199999998,0.044956141,0.013841808,0.082589286,0.10952381,0.0629573830000001,0.133848134,0.210283688,0.346094439,0.397504456,0.122291022,0.215432099,0.0302521,0.00553025299999998,0.304347826,0.096153846,0.083333333,0.213235294,0.083088954,0.030555555,0.0438378819999999,0.03141783,0.067324185,0.016811594,0.150895141,0.118313571,0.013438735,0.011994003,0.110877193,0.207142857,0.124505929,0.00462963000000005,0.129824562,0.144055944,0.00413793100000004,0.205551387,0.407407408,0.029411765,0.178178178,0.204545455,0.0879120880000001,0.127840909,0.014285714,0.05,0.171428571,0.154135339,0.282105263,0.0606896549999999,0.00350877199999999,0.00464396300000003,0.081025641,0.155844156,0.0761904760000001,0.184210526,0.00956937800000002,0.0857142860000001,0.082184518,0.153508772,0.114556417,0.000848897000000015,0.00615384600000002,0.054519368,0.56302521,0.060267857,0.258597884,0.030626781,0.106365834,0.15942029,0.106837607,0.092857143,0.107940446,0.012352033,0.049407114,0.054740958,0.021711367,0.212201592,0.087830688,0.070344828,0.068376068,0.018092105,0.066086957,0.11827957,0.0358796300000001,0.222222223,0.021428571,0.122222223,0.084967321,0.161111111,0.090909091,0.25,0.185758514,0.07,0.034858388,0.131578947,0.00840336099999994,0.374396135,0.112440192,0.033333333,0.0869565219999999,0.171794871
"24",0.055555556,0.029411765,0.08291874,0.225,0.19047619,0.078834525,0.00697674400000001,0.273488372,0.20021645,0.066636852,0,0,0.0171278,0.00410509000000001,0.032085562,0.007739082,0.006403014,0.220218484,0.118473896,0.012987013,0.103174603,0.016923077,0.05210728,0.1679198,0.060465116,0.049477351,0.093495935,0.109803921,0.099470899,0.097308488,0.013390722,0.057971015,0.000564971999999997,0.054315476,0.038095238,0.118811881,0.007078507,0.045390071,0.195402299,0.185383244,0.196078431,0.257425743,0,0.004879636,0,0.230769231,0.0875,0.102941176,0.000977517000000001,0.104166667,0.006203473,0.06122449,0.07161235,0.009275363,0.024296675,0.196428571,0.029644269,0.010494752,0.060350877,0.077723971,0.078392622,0.04537037,0.107017544,0.090909091,0.00206896600000001,0.139534884,0.018518518,0.029411765,0.017017017,0.243939394,0.048351648,0.014204545,0.026190476,0.008333333,0.264285714,0.069548872,0.052631579,0.104827586,0.081286549,0.010835913,0.060512821,0.069264069,0.052380953,0.078947368,0.07416268,0.142857143,0.053658537,0.252923977,0.108585858,0.100169779,0.004615385,0.025107604,0.350540216,0.1875,0.118386244,0.25,0.080580177,0.043478261,0,0,0.038461538,0,0,0.001955035,0,0,0.104072398,0.097902098,0.076923077,0.133445946,0.014782609,0.008602151,0.164351852,0.37037037,0.035714286,0.148148148,0.039215686,0.122222222,0.357954545,0.033333333,0.018575851,0.033333333,0.08714597,0.331983806,0.044817928,0.140096618,0.105263158,0.101851852,0.086956522,0.123342175
"27",0.279275809,0.208165612,0.093896713,0.222747093,0.076533839,0.03313253,0.235521235,0.272321429,0.050366301,0.074404762,0.039193729,0.098373984,0.204615385,0.020242915,0.059395801,0.046428571,0.060869565,0.01248717,0.068635494,0.145544111,0.012121212,0.231292517,0.019201229,0.152272727,0.083333333,0.14399093,0.01676602,0.110421837,0.061111111,0.00170940200000003,0.15,0.015046296,0.102515424,0.25862069,0.071818892,0.015479877,0.050627943,0.072948329,0.239304279,0.025571003,0.215411255,0.125074925,0.034482759,0.003563596,0.108928571,0.125,0.002314815,0.05945122,0.162162162,0.165882353,0.082423039,0.110714286,0.074534161,0.071721311,0.027777778,0.063492063,0.062807881,0.005444646,0.043052837,0.03615465,0.00555555599999999,0.012472488,0.028846154,0.091517857,0.00416666599999999,0.03988604,0.258064516,0.12195122,0.00202020199999997,0.157384988,0.071211463,0.126851852,0.151138716,0.22274436,0.083075336,0.00257289900000002,0.019736842,0.287878788,0.122702703,0.195626477,0.010025063,0.037262873,0.013711735,0.219832736,0.068723703,0.057870371,0.100793651,0.059722222,0.018640351,0.082923833,0.118421053,0.314130435,0.154499151,0.043650794,0.589285714,0.218452381,0.071887035,0.040293041,0.08787062,0.212121212,0.004174121,0.127311522,0.034412955,0.039399625,0.229166667,0.043692741,0.083333333,0.151515152,0.062155783,0.00528541299999999,0.042948718,0.061923584,0.153594771,0.133333333,0.127777778,0.05955335,0.108403361,0.050420168,0.00516128999999999,0.115384615,0.124423963,0.19047619,0.00925925900000002,0.046296296,0.053333333,0.215909091,0.02948403,0.118421053,0.177133655,0.126086957
"28",0.087442219,0.24094307,0.128638498,0.151889535,0.025932954,0.0814784559999999,0.346846847,0.316964286,0.027472528,0.071428571,0.182863714,0.116260162,0.318461538,0.073137389,0.00640040900000005,0.042857143,0.097391304,0.111187137,0.251572327,0.168084788,0.0773109240000001,0.260358689,0.00614439300000003,0.236363636,0.090909091,0.242063492,0.111773472,0.0875930520000001,0.0777777770000001,0.00659340600000002,0.169166667,0.13015873,0.198860939,0.256965945,0.147931304,0.0303405569999999,0.038069074,0.0805471120000001,0.31127549,0.261668322,0.291524265,0.067932068,0.137931034,0.063048246,0.026785714,0.0925,0.064814815,0.171470806,0.08277027,0.174117647,0.0152267460000001,0.121428571,0.109139308,0.079234972,0.041666666,0.115079365,0.136699507,0.0372050820000001,0.023483366,0.216927899,0.060101011,0.061261922,0.030769231,0.098214286,0.019444444,0.00569800600000003,0.419354839,0.097560975,0.06060606,0.161016949,0.034468085,0.075925926,0.18426501,0.203947368,0.119433199,0.069468267,0.082207208,0.272727272,0.148648649,0.095744681,0.0567765570000001,0.026422765,0.049744898,0.344086022,0.14516129,0.0879629630000001,0.033333333,0.024305556,0.057017544,0.141277641,0.175824176,0.143478261,0.215619695,0.040540541,0.375,0.329563492,0.062656641,0.065934066,0.031805929,0,0.020274299,0.041418042,0.046558705,0.103414634,0.220833333,0.142926829,0.121212122,0.056149733,0.134146341,0.017571059,0.030263158,0.144927537,0.233660131,0.133333333,0.203703704,0.105045492,0.042857143,0.068627451,0.059354839,0.104700854,0.187403994,0.0738095240000001,0.05952381,0.081018519,0.061666667,0.128787878,0.03931204,0.281578947,0.120772947,0.0478260869999999
